text,Olek,Kuba,Zgodne?,Stachu,Finalna anotacja
"""Generalnie nie mam żadnych zastrzeżeń i jak najbardziej polecam - pokrowiec jest solidny, świetnie wygląda (chociaż wolałbym, gdyby był matowy, ale to inna kwestia), a także sztywno trzyma pada. Jedyny, drobny minus to zamek błyskawiczny, który przy otwarciu w dziwny sposób się """"rozkłada"""", ale można to samemu sobie poprawić, poza tym nie wpływa to na nic.""",2,2,T,,2
Etui na pierwszy rzut oka wydaje się bardzo ładne i dobrze wykonane lecz nie nadaje się do użytku. Przednia część etui jest sztywna i twarda co powoduje powstawanie ryz w przypadku dostania się zanieczyszczeń pomiędzy wyświetlacz a etui. Po tygodniu użytkowania szkło na wyświetlaczu nadawało się do wymiany. Szkoda telefonu.  Aplikacja nie działa.,0,0,T,,0
"Statyw fajnie wykonany, wysoki i ku mojemu zdziwieniu stabilny (statywy w tym przedziale cenowym mają skłonności do przewracania się, gdy podłoże nie jest idealnie płaskie). Jedynym minusem, którego się dopatrzyłem to to, że głowica nie pozwala na płynną pracę (płynny ruch) przez co nagrywanie filmów z tego statywu może być trudne.",1,1,T,,1
"przepraszam ze tak dlugo nie odpowiadalem ,ale produkt jest de best oprocz balaganu w kuchi jest ok soki ktore zawiozlem do pracy zostaly skomunsowane w krotkiej chwili jedyna wada jest ze nie mamy grzie schowa ale to nie problem ,polecam zmieli wszystko nawet cegly -ale brac to z przymrozonym okie  jesze raz poleca i pozdrawiam ",2,2,T,,2
"Brak opakowania, instrukcji przez co występują trudności w identyfikacji sterowników - nie instaluje się też automatycznie  pod Win7. Nie uruchamia się po uśpieniu, gubi sterowniki, sieć przez co rozłącza się i co utrudnia użytkowanie. Prawdopodobnie produkt z odzysku, po zwrocie nie w pełni kompatybilny i  sprawny. Bez anteny b. słaby zasięg.",0,1,N,0.0,0
"Do Bosch SMV53L10EU pasuje IDEALNIE - wpasowuje się w nowe miejsce (które jest przygotowane w zmywarce), więc jeśli po drodze coś się połamało w gnieździe to bez obaw - wchodzi idealnie. Zastosowano łączenie bardziej trwałe niż w oryginalnej zmywarce. Wszystko na koniec trzeba delikatnie potraktować młotkiem, żeby schowało się pod osłonkę - każdy sobie z tym poradzi ;-)",2,2,T,,2
Jakość i praktyczność wykonania tego trymera pozostawia naprawdę wiele do życzenia. O golarce w tym zestawie nie warto nawet wspominać. Lepiej od razu ja wyrzucić. Za połowę ceny można kupić nieco lepszy produkt produkowany dla marketów jak np Lidl. Jednym słowem warto dołożyć kilkanaście złotych i zakupić np Philipsa. Różnica kolosalna. Nie polecam.,0,0,T,,0
"założyłem sam i działa..zamiennik jak w opisie..pasuje nawet spoko..ale..szkło jest bardzo delikatne , rogi ekranu mniej dokładnie wykończone, niestety jakość nieporównywalna do oryginału.. ale wiadomo..cena.., zamiennik jest 2x lżejszy i przy przyciskaniu dotyku widać odbarwienia także trzeba uważać żeby nie pękło. takie moje spostrzeżenia i różnice a używałem oryginał rok..tak czy inaczej warto się pobawić :)",1,1,T,,1
Zestaw zawiera wszystko czego potrzeba aby podłączyć dyski ATA/SATA do komputera. Przetestowane na Windows 7. System bez problemu wykrył podłączony przez USB starszy dysk IDE ultra ATA jak i nowszy na złączu SATA III. Długość kabli po podłączeniu wystarcza aby urządzenie swobodnie leżało na biurku. Zasilacz nie przegrzewa się nawet po kilkugodzinnej pracy. Polecam.,2,2,T,,2
"""Super uchwyt. Jak go dostałem myślałem że go zrobili w Niemczech :) a tu Chiny. Bardzo dobra jakość wykonania i wszystko jest w zestawie co potrzeba do zamontowania go na ścianie i przykręcenia telewizora. Do 40"""" TV też super pasuje tylko trzeba sprawdzić najpierw tv jaki ma rozstaw vesa.Wygląda też super! Solidny polecam!!!""",2,2,T,,2
